,support,itemsets,length
32,0.29318181818181815,"frozenset({'fre_very_low', 'fro_very_low', 'R3'})",3
33,0.2431818181818182,"frozenset({'fro_very_low', 'CH1', 'R3'})",3
34,0.23863636363636365,"frozenset({'fro_very_low', 'fre_very_low', 'CH1'})",3
35,0.17272727272727273,"frozenset({'fro_very_low', 'fre_very_low', 'CH1', 'R3'})",4
42,0.1409090909090909,"frozenset({'d_low', 'fro_very_low', 'R3'})",3
43,0.13863636363636364,"frozenset({'fre_very_low', 'fro_very_low', 'd_low'})",3
44,0.09318181818181819,"frozenset({'fro_very_low', 'CH1', 'd_low'})",3
45,0.09772727272727273,"frozenset({'fre_very_low', 'd_low', 'fro_very_low', 'R3'})",4
46,0.06818181818181818,"frozenset({'fro_very_low', 'fre_very_low', 'CH1', 'd_low'})",4
47,0.06363636363636363,"frozenset({'fro_very_low', 'd_low', 'CH1', 'R3'})",4
48,0.045454545454545456,"frozenset({'fre_very_low', 'fro_very_low', 'd_low', 'CH1', 'R3'})",5
49,0.14545454545454545,"frozenset({'fre_very_low', 'd_low', 'R3'})",3
50,0.10227272727272728,"frozenset({'g_high', 'd_low', 'R3'})",3
51,0.1,"frozenset({'g_high', 'fro_very_low', 'd_low'})",3
52,0.09772727272727273,"frozenset({'g_high', 'fre_very_low', 'd_low'})",3
53,0.025,"frozenset({'g_high', 'CH1', 'd_low'})",3
54,0.00909090909090909,"frozenset({'g_high', 'dp_very_low', 'd_low'})",3
55,0.07045454545454545,"frozenset({'g_high', 'd_low', 'fro_very_low', 'R3'})",4
56,0.07954545454545454,"frozenset({'g_high', 'fre_very_low', 'fro_very_low', 'd_low'})",4
57,0.07272727272727272,"frozenset({'g_high', 'fre_very_low', 'd_low', 'R3'})",4
58,0.056818181818181816,"frozenset({'fre_very_low', 'fro_very_low', 'd_low', 'g_high', 'R3'})",5
59,0.01818181818181818,"frozenset({'g_high', 'd_low', 'CH1', 'R3'})",4
60,0.015909090909090907,"frozenset({'fro_very_low', 'g_high', 'CH1', 'd_low'})",4
61,0.013636363636363636,"frozenset({'g_high', 'fre_very_low', 'CH1', 'd_low'})",4
62,0.00909090909090909,"frozenset({'fro_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",5
63,0.013636363636363636,"frozenset({'fre_very_low', 'fro_very_low', 'd_low', 'g_high', 'CH1'})",5
64,0.00909090909090909,"frozenset({'fre_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",5
65,0.00909090909090909,"frozenset({'fre_very_low', 'fro_very_low', 'd_low', 'g_high', 'CH1', 'R3'})",6
66,0.00909090909090909,"frozenset({'g_high', 'dp_very_low', 'CH1', 'd_low'})",4
